주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000099,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도이동 233-8,19,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49280333,126.4326943,2020-07-14
405-2-000100,원노형 푸른 제1 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 710-4,45,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48232512,126.484031,2020-07-14
405-2-000101,원노형 푸른 제5 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 736,33,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47886632,126.4798738,2020-07-14
405-2-000102,원노형 푸른 제4 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 751,36,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47774893,126.4798488,2020-07-14
405-2-000103,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1293-2,39,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48888037,126.4826257,2020-07-14
405-2-000104,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1290-3,77,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48729718,126.4798218,2020-07-14
405-2-000105,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1043-1,69,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48959868,126.4765015,2020-07-14
405-2-000106,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1282-1,92,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.486368,126.4777201,2020-07-14
405-2-000107,종남 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2512-1,78,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48415383,126.4714216,2020-07-14
405-2-000108,웅전 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2517-1,107,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48250047,126.4718702,2020-07-14
405-2-000109,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 2612-2,92,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48583842,126.4749749,2020-07-14
405-2-000110,수덕 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2534-3,74,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48386668,126.4744607,2020-07-14
